time,ideal_x,ideal_y,ideal_theta,ideal_speed,noisy_x,noisy_y,noisy_theta,noisy_speed,filtered_x,filtered_y,filtered_theta,filtered_speed,desired_speed,desired_y,steering_cmd,speed_cmd
2.705882828,0.09407996860339368,7.189358294912246e-05,0.0004997828200540771,0.119999999999687,0.09373526090139007,0.010666695922338647,0.004791303905729757,0.12234915225311345,0.09354820616543856,0.0028756656148527715,0.0010547756275648614,0.12234915225311345,0.12,0.0,-0.004843889392972301,0.12
2.755940831,0.09815996817533322,7.37595397392985e-05,0.0004088954440700072,0.11999999999968147,0.11652588148653173,0.0027164039429412325,0.0010772689619164433,0.13924023188238527,0.10676867568121906,0.004178161875494435,0.0020351145595899323,0.13924023188238527,0.12,0.0,-0.007724749415950957,0.12
2.806400482,0.10223996793005528,7.516559492437095e-05,0.00027584311339852127,0.119999999999687,0.10913988375653579,0.019259168651771717,-0.002431018743307558,0.12690428090815395,0.11114367999750586,0.007378584164641454,0.0010057772770216769,0.12690428090815395,0.12,0.0,-0.009874983252212276,0.12
2.855634795,0.10631996784417623,7.59822988187451e-05,0.00011816427518546882,0.11999999999968285,0.12190456155199193,0.02624060666054119,0.005169479587098178,0.10006117731471591,0.11651553500385789,0.011392790035153918,0.0010442581784587109,0.10006117731471591,0.12,0.0,-0.015708734883372308,0.12
2.906376579,0.11447996769744627,7.504817353340221e-05,-0.00039315539683332863,0.1199999999996787,0.11010300354241148,0.002360032683937467,-0.0003511481053779413,0.12165843967389066,0.11730003130324955,0.0070189504312983065,0.0017151016849361342,0.12165843967389066,0.12,0.0,-0.016258546137036395,0.12
2.956037946,0.11855996708110622,7.283351470341086e-05,-0.0006900138122088173,0.11999999999968425,0.120875122409994,0.0002688394787972237,-0.003927449058985453,0.12398667567148053,0.1221610503335797,0.005584382038952355,0.0002981889024793291,0.12398667567148053,0.12,0.0,-0.011745507138422219,0.12
3.006265213,0.12263996570922892,6.949966774621267e-05,-0.0009311848112646843,0.11999999999968702,0.11724500082997225,-0.006476789707138662,-0.00864101215829305,0.10576255104886328,0.12480224904470291,0.003011960740039424,-0.002035589387710305,0.10576255104886328,0.12,0.0,-0.006082811510561192,0.12
3.056398723,0.12671996356830384,6.532483080526078e-05,-0.0010970744843858263,0.11999999999968702,0.13752145260052975,0.021717608600763143,0.011731180013918095,0.09149221247689061,0.13085295587132897,0.0069963076457523095,0.0010250902690208045,0.09149221247689061,0.12,0.0,-0.007496264462765337,0.12
3.108298639,0.13079996089238433,6.0653560127594084e-05,-0.001205352618535225,0.11999999999968565,0.13164805670035928,0.0015405234474097174,-0.0033831861428809625,0.11881265414395836,0.13660872920515268,0.005834427311108153,0.0006319877726586375,0.11881265414395836,0.12,0.0,-0.009379249793656754,0.12
3.156013227,0.13487995747619366,5.537779697904112e-05,-0.0013800834167730983,0.1199999999996801,0.13565334383898545,0.0008765077685115371,-0.006474330494932575,0.10251440014577504,0.13660872920515268,0.005834427311108153,0.0006319877726586375,0.11881265414395836,0.12,0.0,-0.009265912672579962,0.12
3.205844058,0.1389599530868046,4.9396432263389314e-05,-0.0015482499408695112,0.11999999999968425,0.1460541101223564,0.006796987125552243,-0.008517610818408307,0.09825881922000604,0.1452298660436841,0.005184552968388771,-0.00270862006326933,0.09825881922000604,0.12,0.0,-0.00524009525561565,0.12
3.255781753,0.1430399478080994,4.28346866845174e-05,-0.0016606725252000817,0.11999999999968702,0.12990200733430263,-0.02334712691096326,-0.00923345996590708,0.13106251699500784,0.1464814840879661,-0.0008962873187795747,-0.003247886998243009,0.13106251699500784,0.12,0.0,0.0005089312299150156,0.12
